Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
1,Peixoto Ltda,S/A Facilis,87.692.354/0001-22,4930-2/01 (Transporte de cargas),"Conjunto de Gomes, 51",Lima,AM,Brasil,melobrenda@moraes.br,0800-387-7840,Inativa
2,Carvalho e Filhos Ltda,- ME Voluptatum,07.518.293/0001-42,6201-5/01 (Desenvolvimento de software),"Feira da Conceição, 271",Silva do Amparo,AM,Brasil,gabrielly41@viana.net,0500-894-7196,Inativa
3,Duarte Ltda,Ltda. Ea,32.045.897/0001-66,6619-3/02 (Serviços financeiros),Conjunto de da Costa,Cardoso,RR,Brasil,rsouza@da.org,(041) 7515-9179,Inativa
4,da Mota Ltda,S.A. Ad,41.328.670/0001-19,4930-2/01 (Transporte de cargas),Vila das Neves,Teixeira,RN,Brasil,araujofelipe@costa.br,+55 61 0903 2173,Inativa
5,Aragão - EI Ltda,- ME Sit,14.970.286/0001-42,2063-1/00 (Fabricação de cosméticos),"Rodovia Rezende, 2",da Paz Paulista,MS,Brasil,sda-cunha@caldeira.br,51 4197 2076,Inativa
6,Moraes Ltda,- ME Unde,42.035.786/0001-22,8020-0/01 (Monitoramento de segurança),Ladeira de Cunha,Rocha,MS,Brasil,maria-eduarda59@lima.br,+55 21 0935 2337,Ativa
7,Peixoto Ltda,S/A Natus,96.013.725/0001-93,6619-3/02 (Serviços financeiros),"Rua Carolina Almeida, 8",Lima dos Dourados,AL,Brasil,jda-mota@costela.br,84 5030 0891,Ativa
8,Costa da Paz Ltda. Ltda,Ltda. Voluptas,21.763.048/0001-21,3511-5/00 (Geração de energia solar),"Jardim Cunha, 351",Aragão do Norte,AL,Brasil,maria-juliaferreira@moreira.com,0500-776-5823,Ativa
9,Gonçalves Ltda,S/A Deserunt,24.596.073/0001-56,4671-6/00 (Com. atac. insumos agrícolas),Ladeira da Cruz,Gonçalves,MS,Brasil,ivieira@correia.br,+55 41 0428-1465,Inativa
10,Peixoto Ltda,S/A Consequuntur,87.926.034/0001-90,6619-3/02 (Serviços financeiros),"Praça Breno Jesus, 32",Carvalho de Minas,SE,Brasil,da-pazrafaela@caldeira.com,61 8847 7936,Ativa
11,Moura S.A. Ltda,Ltda. Reprehenderit,26.390.548/0001-89,3511-5/00 (Geração de energia solar),"Estrada de Costa, 56",Barbosa,SE,Brasil,laisda-conceicao@da.br,21 8219 7296,Ativa
12,Silveira Ltda,- ME Veritatis,57.896.140/0001-07,4671-6/00 (Com. atac. insumos agrícolas),"Largo de Martins, 9",Fernandes,RN,Brasil,vitor-hugogoncalves@campos.com,41 0132-0407,Inativa
13,da Cruz Ltda,S.A. Ullam,75.649.082/0001-07,2063-1/00 (Fabricação de cosméticos),"Trevo de Cardoso, 53",Rocha das Flores,RN,Brasil,augustoalmeida@jesus.org,(071) 1744 6660,Ativa
14,Costela Duarte Ltda. Ltda,e Filhos Iusto,09.731.682/0001-87,1091-1/02 (Fabricação de alimentos),"Morro Oliveira, 8",Ramos do Norte,AM,Brasil,bda-costa@costela.br,+55 51 8536 7109,Inativa
15,Mendes Ltda,e Filhos Cupiditate,94.237.018/0001-55,1091-1/02 (Fabricação de alimentos),"Praia Vinicius da Mota, 25",Barbosa,PR,Brasil,benjamin89@dias.br,21 4126-9611,Ativa
16,Campos Ltda,S/A Nesciunt,20.735.681/0001-43,6619-3/02 (Serviços financeiros),"Jardim Davi Lucca Moraes, 2",Araújo da Praia,MS,Brasil,anthonydias@cardoso.com,+55 (084) 0310-4509,Inativa
17,da Conceição da Mata - ME Ltda,S/A Perferendis,54.201.789/0001-78,2063-1/00 (Fabricação de cosméticos),"Sítio Luana Martins, 29",Teixeira,RJ,Brasil,ian62@das.net,+55 41 2456-0290,Inativa
18,Cardoso Ltda,e Filhos Aut,26.473.158/0001-72,6201-5/01 (Desenvolvimento de software),"Chácara Luiz Felipe Pires, 18",Oliveira do Sul,PA,Brasil,ana-laura35@ribeiro.com,+55 (061) 1418-9276,Ativa
19,Peixoto Pinto S.A. Ltda,S.A. Odit,58.273.094/0001-52,4671-6/00 (Com. atac. insumos agrícolas),"Vila Porto, 470",Correia da Mata,PI,Brasil,ana-carolinaribeiro@sales.br,+55 84 0140-0468,Inativa
20,Pires Ltda,S/A Explicabo,54.380.961/0001-06,6201-5/01 (Desenvolvimento de software),"Loteamento de Costa, 232",Gonçalves da Mata,PE,Brasil,isabellasilveira@teixeira.br,+55 84 4759-2211,Inativa
21,Nunes Ltda,- EI Omnis,28.495.370/0001-66,1091-1/02 (Fabricação de alimentos),"Vila Clara Lopes, 80",da Conceição do Amparo,AL,Brasil,benjaminmoraes@novaes.com,51 1160 5019,Ativa
22,Fogaça e Filhos Ltda,e Filhos Illum,32.410.978/0001-18,1091-1/02 (Fabricação de alimentos),"Esplanada Rafael Peixoto, 82",Souza,MT,Brasil,kaiqueda-mata@monteiro.br,(011) 7633-7390,Ativa
23,Azevedo Ltda,S.A. Tempora,12.507.948/0001-17,8599-6/04 (Treinamento profissional),"Chácara de Silva, 75",Barros de Silveira,RO,Brasil,framos@ribeiro.net,(081) 4000 2504,Ativa
24,Cunha S/A Ltda,- ME Vero,36.971.204/0001-17,8599-6/04 (Treinamento profissional),Largo Esther Ramos,Fernandes do Sul,PE,Brasil,da-motavicente@da.br,+55 (071) 3444-8647,Ativa
25,Duarte Ltda,S/A Inventore,81.036.579/0001-44,6619-3/02 (Serviços financeiros),"Praia Erick Cardoso, 4",da Costa,PA,Brasil,ana-lauracardoso@novaes.com,+55 (061) 3732-4556,Inativa
26,Gomes - EI Ltda,- EI Eligendi,47.895.260/0001-36,4671-6/00 (Com. atac. insumos agrícolas),Vale Castro,Peixoto,ES,Brasil,miguelalmeida@barros.com,51 4195 3843,Ativa
27,Campos Silveira Ltda. Ltda,e Filhos Itaque,35.724.180/0001-39,1091-1/02 (Fabricação de alimentos),"Largo de Moreira, 702",da Luz,PE,Brasil,cunhasarah@sales.com,+55 31 6599-2719,Inativa
28,Souza - EI Ltda,Ltda. Porro,74.018.632/0001-19,4671-6/00 (Com. atac. insumos agrícolas),"Largo de Cardoso, 72",Lopes,SE,Brasil,vitor03@lopes.net,(081) 7345 2405,Inativa
29,da Costa Ltda. Ltda,S/A Porro,09.386.125/0001-76,6619-3/02 (Serviços financeiros),"Morro Pereira, 83",da Conceição da Praia,MA,Brasil,maitemelo@nascimento.com,81 4887 0916,Inativa
30,da Cunha Ltda,S/A Provident,28.907.146/0001-34,4671-6/00 (Com. atac. insumos agrícolas),Viela da Cunha,Pereira,RN,Brasil,ramosmarina@barbosa.br,+55 (041) 0715 4273,Inativa
31,da Cruz Ltda,e Filhos Necessitatibus,54.730.286/0001-90,6619-3/02 (Serviços financeiros),"Setor Vieira, 80",Costa das Flores,MS,Brasil,bbarros@azevedo.org,0800 438 8564,Ativa
32,Correia Melo S.A. Ltda,- EI Veniam,85.261.704/0001-70,8020-0/01 (Monitoramento de segurança),"Travessa da Costa, 55",Martins do Amparo,SE,Brasil,kpinto@da.com,(031) 2507-4931,Inativa
33,Freitas Ltda,S.A. Quia,21.940.638/0001-82,2063-1/00 (Fabricação de cosméticos),"Lago Antônio Pereira, 94",Mendes do Oeste,RR,Brasil,ada-conceicao@nogueira.com,84 6930-5823,Ativa
34,Sales Ltda,S/A Expedita,93.418.057/0001-96,8020-0/01 (Monitoramento de segurança),"Praia de Silva, 4",Pires,AP,Brasil,rnovaes@pinto.br,0800-514-0704,Inativa
35,Novaes Nogueira - ME Ltda,e Filhos Sunt,60.724.195/0001-44,1091-1/02 (Fabricação de alimentos),"Passarela Ribeiro, 220",Moreira do Sul,AP,Brasil,melissacorreia@barbosa.br,+55 (041) 5624 6292,Ativa
36,Lima Ltda,- EI Assumenda,29.835.047/0001-57,3511-5/00 (Geração de energia solar),"Vila de Nogueira, 25",da Luz,TO,Brasil,joao45@ferreira.br,+55 (021) 7820-9280,Ativa
37,Cardoso Ltda,S.A. Tenetur,73.941.258/0001-66,8599-6/04 (Treinamento profissional),"Avenida de Viana, 9",Almeida de Minas,AM,Brasil,kmoraes@melo.br,31 5125-0220,Ativa
38,da Mota Ltda,S/A Neque,04.698.127/0001-87,6201-5/01 (Desenvolvimento de software),"Praia Moraes, 594",Oliveira de da Mata,AC,Brasil,mferreira@campos.br,+55 41 1050 2690,Inativa
39,Ramos Ltda,- EI Voluptate,79.160.438/0001-97,2063-1/00 (Fabricação de cosméticos),Rua de Castro,Melo,MS,Brasil,ribeirobernardo@silveira.com,41 5282 2223,Ativa
